OD id,OD definition,OED id,First attested
access_1_verb_2,Obtain or retrieve (computer data or a file),"access_v2.2, access_v2.1a","1959, 1953"
account_1_noun_4,"An arrangement by which a user is given personalized access to a computer, website, or application, typically by entering a username and password.",account_n2d,1971
act_1_verb_5,"Perform a role in a play, film, or television.",act_n3a,1585
actor_1_noun_1,"A person whose profession is acting on the stage, in films, or on television.",actor_n4,1566
application_1_noun_5,A program or piece of software designed to fulfil a particular purpose.,application_n3d,1959
arc_1_noun_2,A luminous electrical discharge between two electrodes or other points.,arc_n5,1821
arc_1_noun_3,"(in a novel, play, or film) the development or resolution of the narrative or principal theme.",arc_n_2002,1962
arc_1_verb_2,Form an electric arc.,arc_v1,1893
attitude_1_noun_3,"The orientation of an aircraft or spacecraft, relative to the direction of travel.",attitude_n2c,1910
audience_1_noun_1,"The assembled spectators or listeners at a public event such as a play, film, concert, or meeting.",audience_n7a,1387
band_2_noun_2,"A small group of musicians and vocalists who play pop, jazz, or rock music.",band_n3.4a,1660
bank_1_noun_3,"A set of similar things, especially electrical or electronic devices, grouped together in rows.",bank_n2.6a,1777
bank_1_verb_2,(with reference to an aircraft or vehicle) tilt or cause to tilt sideways in making a turn.,bank_v1.13a,1909
bark_2_noun_2,"Thin sheets of chocolate topped with ingredients such as nuts, confectionery, and dried fruit and broken into irregularly shaped pieces.",bark_n1_2016,1910
bay_3_noun_2,"A compartment with a specified function in a vehicle, aircraft, or ship.",bay_n3.3,1582
beam_1_verb_1,Transmit (a radio signal or broadcast) in a specified direction.,beam_v7,1927
bill_1_noun_3,A programme of entertainment at a theatre or cinema.,bill_n3.8c,1851
blue_1_adjective_3,"(of a film, joke, or story) having sexual or pornographic content.",blue_adj10a,1818
board_1_verb_1,"Get on or into (a ship, aircraft, or other vehicle)",board_v2b,1848
body_1_noun_2,The main section of a motor vehicle or aircraft.,body_n6a,1353
body_1_verb_2,Build the bodywork of (a motor vehicle),body_v4,1969
bow_2_verb_3,(of a new film or product) be premiered or launched.,?,?
brick_1_noun_2,"A large and relatively heavy mobile phone, typically an early model with limited functionality.",brick_n1.4f,1990
brick_1_verb_3,"Cause (a smartphone or other electronic device) to become completely unable to function, typically on a permanent basis.",brick_v6,1999
bridge_1_noun_8,"An electric circuit with two branches across which a detector or load is connected, used to measure resistance or other property by equalizing the potential across the two ends of a detector, or to rectify an alternating voltage or current.",bridge_n1.18,1865
brush_1_noun_5,A piece of carbon or metal serving as an electrical contact with a moving part in a motor or alternator.,brush_n2.6b,1883
bus_1_noun_1,"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",bus_n1.1a,1832
bus_1_noun_2,"A distinct set of conductors carrying data and control signals within a computer system, to which pieces of equipment may be connected in parallel.",bus_n1.2b,1946
bush_2_noun_2,A sleeve that protects an electric cable where it passes through a panel.,?,?
