OD id,OD definition,OED id,First attested
airbridge_1_noun_1,"A link between two places that is provided by air transport, especially during a conflict, blockade, or other emergency.",air_n1_airbridge,1939
airbridge_1_noun_2,A portable bridge placed against an aircraft door to allow passengers to embark or disembark.,air_n1_airbridge,1939
aircrew_1_noun_1,The crew staffing an aircraft.,air_n1_aircrew,1921
airfield_1_noun_1,"An area of land set aside for the take-off, landing, and maintenance of aircraft.",airfield_n3,1919
airmail_1_noun_1,"A system of transporting mail by aircraft, typically overseas.",airmail_n1a,1911
airmail_1_verb_1,Send (mail) by aircraft.,airmail_v1,1919
airplay_1_noun_1,"Broadcasting time devoted to a particular record, performer, or musical genre.",air_n1_airplay,1964
airside_1_noun_1,The side of an airport terminal beyond passport and customs control.,airside_n2,1955
airside_1_adverb_1,On or to the airside of an airport terminal.,airside_adv,1978
airspace_1_noun_1,"The air available to aircraft to fly in, especially the part subject to the jurisdiction of a particular country.",airspace_n2,1908
airwoman_1_noun_1,"A female pilot or member of the crew of an aircraft, especially in an air force.",airwoman_n,1910
backplane_1_noun_1,"A board to which the main circuit boards of a computer may be connected, and which provides connections between them.",backplane_n,1972
backslash_1_noun_1,"A backward-sloping diagonal line (\), used in some computer commands.",backslash_n,1982
broadcaster_1_noun_1,An organization that transmits a programme or information by radio or television.,broadcaster_n2b,1922
broadcasting_1_noun_1,The transmission of programmes or information by radio or television.,broadcasting_n2,1920
cellphone_1_noun_1,"A phone with access to a cellular radio system so it can be used over a wide area, without a physical connection to a network; a mobile phone.",cellphone_n,1983
contrail_1_noun_1,"A trail of condensed water from an aircraft or rocket at high altitude, seen as a white streak against the sky; a vapour trail.",contrail_n,1945
countdown_1_noun_1,"An act of counting numerals in reverse order to zero, especially before the launching of a rocket or missile.",countdown_n,1953
crewman_1_noun_1,"A member of a group of people who work on and operate a ship, aircraft, etc., particularly one who is not an officer.",crewman_n,1937
database_1_noun_1,"A structured set of data held in a computer, especially one that is accessible in various ways.",database_n,1955
doodlebug_1_noun_1,British informal another term for V-1,doodlebug_n2,1944
doodlebug_1_noun_2,The larva of an ant lion.,doodlebug_n1a,1866
doodlebug_1_noun_3,An unscientific device for locating oil or minerals; a divining rod.,doodlebug_n_1993,1924
doodlebug_1_noun_4,A small car or other vehicle.,doodlebug_n_1993,1937
downtime_1_noun_1,"Time during which a machine, especially a computer, is out of action or unavailable for use.",downtime_n1,1940
earphone_1_noun_1,"An electrical device worn on the ear to receive radio or telephone communications or to listen to a radio, MP3 player, etc.",earphone_n1b,1881
filmland_1_noun_1,"The world of the film industry; a particular locality associated with the film industry, especially. Hollywood.",filmland_n,1913
filmset_1_verb_1,Set (material to be printed) by projecting it on to photographic film from which the printing surface is prepared.,filmset_v,1958
firmware_1_noun_1,Permanent software programmed into a read-only memory.,firmware_n,1968
freeware_1_noun_1,Software that is available free of charge.,free_adj_freeware,1982
handset_1_noun_1,A mobile phone.,?,?
hatchback_1_noun_1,A car with a door across the full width at the back end that opens upwards to provide easy access for loading.,hatchback_n1,1970
headset_1_noun_1,"A set of headphones, typically with a microphone attached, used especially in telephony and radio communication.",headset_n2,1900
headset_1_noun_2,The bearing assembly which links the front fork of a bicycle to its frame.,headset_n1,1898
jazzman_1_noun_1,A male jazz musician.,jazzman_n,1919
jetport_1_noun_1,An airport served by jet aircraft.,jet_n3_jetport,1956
joystick_1_noun_1,The control column of an aircraft.,joystick_n3a,1913
keypunch_1_noun_1,A device for transferring data by means of punched holes or notches on a series of cards or paper tape.,keypunch_n2,1903
keypunch_1_verb_1,Put (data) into the form of punched cards or paper tape with a keypunch.,keypunch_v1b,1959
kicksorter_1_noun_1,A device for analysing electrical pulses according to amplitude.,kicksorter_n,1947
kidvid_1_noun_1,Children's television or video entertainment.,kid_n1_1997_kidvid,1955
landplane_1_noun_1,An aircraft which can only operate from or alight on land.,land_n1_landplane,1923
laptop_1_noun_1,A computer that is portable and suitable for use while travelling.,laptop_n,1983
mainframe_1_noun_1,"A large high-speed computer, especially one supporting numerous workstations or peripherals.",?,?
mainframe_1_noun_2,The central processing unit and primary memory of a computer.,mainframe_n2,1957
motherboard_1_noun_1,"A printed circuit board containing the principal components of a computer or other device, with connectors for other circuit boards to be slotted into.",motherboard_n,1965
newscast_1_noun_1,A radio or television broadcast of news reports.,newscast_n,1934
newscaster_1_noun_1,A person who reads out broadcast news stories; a newsreader.,newscaster_n,1930
newsreel_1_noun_1,"A short film of news and current affairs, formerly made for showing as part of the programme in a cinema.",newsreel_n,1914
offscreen_1_adjective_1,"Not appearing on a cinema, television, or computer screen.",offscreen_adj1,1932
offscreen_1_adverb_1,Outside what can be seen on a television or cinema screen.,offscreen_adv1,1935
penlight_1_noun_1,A small electric torch shaped like a fountain pen.,penlight_n,1930
phonecard_1_noun_1,A prepaid card which allows the user to make phone calls up to a specified number of units using a cardphone.,phone_n2_phonecard,1980
playlist_1_noun_1,A list of recorded songs or pieces of music chosen to be broadcast on a radio show or by a particular radio station.,playlist_n2,1962
playlist_1_verb_1,Place (a song or piece of music) on a playlist.,playlist_v,1979
protonmotive_1_adjective_1,"Of, relating to, or characterized by the movement of protons in response to an electric potential gradient. Chiefly in  protonmotive force .",protonmotive_n,1966
ragtop_1_noun_1,A car with a convertible roof.,rag_n2_ragtop,1952
